source_id,title,type,path_or_url,used_for,notes
example_seed,Minimal seed examples,manual,data/kg,nodes and edges schema validation,Only for repository skeleton tests
caption_mask_stats,Caption and mask-derived visual descriptors,manual,docs/sources/mvtec_sources.md,MVTec morphology constraints,Development reference descriptors only; not verified RCA
manual_curation,Manual development KG curation,manual,docs/sources/mvtec_sources.md,MVTec development reference and plausible mechanism edges,Reviewed/plausible development edges; not native MVTec factory RCA
wafer_thesis,Wafer plausible thesis/reference note,manual,docs/sources/wafer_sources.md,Base wafer plausible nearfull mechanism edge,Plausible reference only; not verified factory RCA unless separately reviewed
mvtec_calibrated_source_label,MVTec calibrated producer records,generated_record,runs/mvtec_calibrated_pipeline/mvtec_calibrated_records.jsonl,MVTec object and defect-label candidate KG coverage,Observed/source labels only; not verified RCA
mvtec_mask_geometry,MVTec adapter table mask geometry,generated_artifact,runs/mvtec_calibrated_pipeline/adapter_pipeline/adapter_pipeline_table.csv,MVTec morphology and location constraints,Derived evidence constraints for candidate KG
mvtec_plausible_visual_mechanism,MVTec plausible visual mechanism rules,manual,docs/sources/mvtec_sources.md,MVTec low-confidence candidate mechanism edges,Curated plausible explanation only
wm811k_public_pattern_classes,WM811K public defect-pattern vocabulary,public_dataset_vocab,docs/sources/wafer_sources.md,Wafer pattern node coverage,Defect-pattern evidence only; not process RCA
wm811k_pattern_semantics,WM811K deterministic pattern semantics,project_rule,src/kgtracevis/mask/wafer_map_features.py,Wafer morphology and location constraints,Class-to-descriptor constraints
wm811k_low_confidence_investigation_rule,WM811K candidate investigation rules,manual,docs/sources/wafer_sources.md,Low-confidence wafer candidate mechanism edges,Auto-review candidate paths only
wafer_factory_sop_private_summary,Private wet-clean SOP safe summary,private_summary,docs/sources/wafer_sources.md,Low-confidence WM811K wet-clean investigation targets,Short snippets only; no raw private document committed; not verified RCA
wafer_wet_bench_manual_private_summary,Private wet-bench manuals safe summary,private_summary,docs/sources/wafer_sources.md,Equipment and alarm vocabulary for wafer aliases,Summarized manual terms only; not defect RCA
wafer_wet_bench_component_naming_private_summary,Private wet-bench naming spec safe summary,private_summary,docs/sources/wafer_sources.md,Component and HMI aliases for wafer entity linking,Alias vocabulary only
wafer_machine_log_private_summary,Private machine log safe summary placeholder,private_summary,docs/sources/wafer_sources.md,Alarm and event vocabulary if private logs are summarized,Event vocabulary only; not defect RCA
wafer_recipe_private_summary,Private recipe safe summary placeholder,private_summary,docs/sources/wafer_sources.md,Recipe-step vocabulary without paired defect labels,Low usefulness for RCA without paired defect evidence
mvtec_ad_official_page,MVTec AD official dataset page,official_dataset_page,docs/sources/mvtec_source_bundle/mvtec_ad_official_page.html,MVTec dataset scope and anomaly annotation context,Downloaded provenance source for candidate KG evidence wording
mvtec_ad_paper_pdf,MVTec AD paper PDF,official_dataset_paper,docs/sources/mvtec_source_bundle/raw/mvtec_ad.pdf,MVTec industrial anomaly detection benchmark context,Optional raw PDF ignored by Git; use source id in edge evidence
patchcore_arxiv_abs,PatchCore arXiv abstract page,method_paper_page,docs/sources/mvtec_source_bundle/patchcore_arxiv_abs.html,PatchCore model evidence boundary,Downloaded provenance source for detector/localization context
patchcore_arxiv_pdf,PatchCore paper PDF,method_paper,docs/sources/mvtec_source_bundle/raw/patchcore_2106_08265.pdf,PatchCore model evidence boundary,Optional raw PDF ignored by Git; use source id in edge evidence
mvtec_object_specific_visual_rule,MVTec object-specific visual candidate rules,manual,docs/sources/mvtec_sources.md,Object-specific MVTec candidate mechanism edges,Auto-review candidate paths only; not verified RCA
tep_kg_variable_mapping,TEP_KG variable mapping artifact,project_artifact,docs/sources/tep_sources.md,TEP XMEAS/XMV channel aliases and variable nodes,Derived from local TEP_KG data/processed/kg/tep_variable_mapping.jsonl; channel mapping only
tep_kg_fault_labels_v3,TEP_KG fault root-cause label artifact,project_artifact,docs/sources/tep_sources.md,TEP fault anchors and candidate variable support,Derived from local TEP_KG data/processed/rca/fault_root_cause_labels.json; reviewable RCA support only
kgtracevis_tep_producer_contract,KGTraceVis TEP producer contract,project_code,docs/dataset_record_producers.md,TEP residual-contribution evidence morphology,Documents KGTraceVis producer output fields; not an external process fact
rootlens_tep_runtime_projection,RootLens TEP runtime projection,project_artifact,docs/sources/tep_sources.md,TEP visualization/runtime cross-check,RootLens route2 examples align Fault 06 with XMEAS_1 and XMV_3 for reviewable visualization
