head,relation,tail,scenario,source,evidence,confidence,weight,review_status,feedback_count,accepted_count,rejected_count
BentDefect,HAS_MORPHOLOGY,LinearMorphology,mvtec,mvtec_mask_geometry,The MVTec adapter converts source labels and mask geometry into normalized evidence; sampled 'Bent' cases are represented with 'linear' morphology in the adapter pipeline table.,0.78,0.22,auto,0,0,0
BentDefect,HAS_MORPHOLOGY,SpotMorphology,mvtec,mvtec_mask_geometry,The MVTec adapter converts source labels and mask geometry into normalized evidence; sampled 'Bent' cases are represented with 'spot' morphology in the adapter pipeline table.,0.78,0.22,auto,0,0,0
BentDefect,HAS_PLAUSIBLE_CAUSE,AssemblyError,mvtec,mvtec_plausible_visual_mechanism,"MVTec AD is an industrial anomaly detection/localization benchmark with defect test images and pixel-level anomaly annotations; source label 'Bent' is mapped to Assembly error as a candidate visual investigation path for KGTraceVis, not a confirmed root-cause label.",0.66,0.34,auto,0,0,0
BentDefect,HAS_PLAUSIBLE_CAUSE,ProcessMisalignment,mvtec,mvtec_plausible_visual_mechanism,"MVTec AD is an industrial anomaly detection/localization benchmark with defect test images and pixel-level anomaly annotations; source label 'Bent' is mapped to Process misalignment as a candidate visual investigation path for KGTraceVis, not a confirmed root-cause label.",0.66,0.34,auto,0,0,0
BentDefect,OCCURS_ON,SurfaceLocation,mvtec,mvtec_mask_geometry,The MVTec adapter converts source labels and mask geometry into normalized evidence; sampled 'Bent' cases are represented at 'surface' location in the adapter pipeline table.,0.74,0.26,auto,0,0,0
BentLeadDefect,HAS_MORPHOLOGY,LinearMorphology,mvtec,mvtec_mask_geometry,The MVTec adapter converts source labels and mask geometry into normalized evidence; sampled 'BentLead' cases are represented with 'linear' morphology in the adapter pipeline table.,0.78,0.22,auto,0,0,0
BentLeadDefect,HAS_PLAUSIBLE_CAUSE,AssemblyError,mvtec,mvtec_plausible_visual_mechanism,"MVTec AD is an industrial anomaly detection/localization benchmark with defect test images and pixel-level anomaly annotations; source label 'BentLead' is mapped to Assembly error as a candidate visual investigation path for KGTraceVis, not a confirmed root-cause label.",0.66,0.34,auto,0,0,0
BentLeadDefect,HAS_PLAUSIBLE_CAUSE,ProcessMisalignment,mvtec,mvtec_plausible_visual_mechanism,"MVTec AD is an industrial anomaly detection/localization benchmark with defect test images and pixel-level anomaly annotations; source label 'BentLead' is mapped to Process misalignment as a candidate visual investigation path for KGTraceVis, not a confirmed root-cause label.",0.66,0.34,auto,0,0,0
BentLeadDefect,HAS_PLAUSIBLE_CAUSE,TransistorLeadAssembly,mvtec,mvtec_object_specific_visual_rule,"MVTec AD provides object-level defect test images and pixel anomaly masks; for the Transistor object, source label 'BentLead' is mapped to Transistor lead assembly as an object-specific candidate investigation target. This is a low-confidence KG constraint for explanation coverage, not a confirmed root-cause label.",0.68,0.32,auto,0,0,0
BentLeadDefect,OCCURS_ON,SurfaceLocation,mvtec,mvtec_mask_geometry,The MVTec adapter converts source labels and mask geometry into normalized evidence; sampled 'BentLead' cases are represented at 'surface' location in the adapter pipeline table.,0.74,0.26,auto,0,0,0
