head,relation,tail,scenario,source,evidence,confidence,weight,review_status,feedback_count,accepted_count,rejected_count
Fault01Stream4ACRatio,AFFECTS_VARIABLE,Xmeas23Variable,tep,tep_kg_fault_labels_v3,"TEP_KG fault_root_cause_labels_v3 maps IDV(1) to process proxies aligned with XMEAS_23; this is candidate RCA support, not an online causal proof.",0.72,0.28,auto,0,0,0
Fault01Stream4ACRatio,AFFECTS_VARIABLE,Xmeas25Variable,tep,tep_kg_fault_labels_v3,"TEP_KG fault_root_cause_labels_v3 maps IDV(1) to process proxies aligned with XMEAS_25; this is candidate RCA support, not an online causal proof.",0.72,0.28,auto,0,0,0
Fault01Stream4ACRatio,AFFECTS_VARIABLE,Xmeas29Variable,tep,tep_kg_fault_labels_v3,"TEP_KG fault_root_cause_labels_v3 maps IDV(1) to process proxies aligned with XMEAS_29; this is candidate RCA support, not an online causal proof.",0.72,0.28,auto,0,0,0
Fault01Stream4ACRatio,AFFECTS_VARIABLE,Xmeas31Variable,tep,tep_kg_fault_labels_v3,"TEP_KG fault_root_cause_labels_v3 maps IDV(1) to process proxies aligned with XMEAS_31; this is candidate RCA support, not an online causal proof.",0.72,0.28,auto,0,0,0
Fault01Stream4ACRatio,AFFECTS_VARIABLE,Xmeas4Variable,tep,tep_kg_fault_labels_v3,"TEP_KG fault_root_cause_labels_v3 maps IDV(1) to process proxies aligned with XMEAS_4; this is candidate RCA support, not an online causal proof.",0.72,0.28,auto,0,0,0
Fault01Stream4ACRatio,AFFECTS_VARIABLE,Xmv4Variable,tep,tep_kg_fault_labels_v3,"TEP_KG fault_root_cause_labels_v3 maps IDV(1) to process proxies aligned with XMV_4; this is candidate RCA support, not an online causal proof.",0.72,0.28,auto,0,0,0
Fault02Stream4BComposition,AFFECTS_VARIABLE,Xmeas24Variable,tep,tep_kg_fault_labels_v3,"TEP_KG fault_root_cause_labels_v3 maps IDV(2) to process proxies aligned with XMEAS_24; this is candidate RCA support, not an online causal proof.",0.72,0.28,auto,0,0,0
Fault02Stream4BComposition,AFFECTS_VARIABLE,Xmeas30Variable,tep,tep_kg_fault_labels_v3,"TEP_KG fault_root_cause_labels_v3 maps IDV(2) to process proxies aligned with XMEAS_30; this is candidate RCA support, not an online causal proof.",0.72,0.28,auto,0,0,0
Fault02Stream4BComposition,AFFECTS_VARIABLE,Xmeas4Variable,tep,tep_kg_fault_labels_v3,"TEP_KG fault_root_cause_labels_v3 maps IDV(2) to process proxies aligned with XMEAS_4; this is candidate RCA support, not an online causal proof.",0.72,0.28,auto,0,0,0
Fault02Stream4BComposition,AFFECTS_VARIABLE,Xmv4Variable,tep,tep_kg_fault_labels_v3,"TEP_KG fault_root_cause_labels_v3 maps IDV(2) to process proxies aligned with XMV_4; this is candidate RCA support, not an online causal proof.",0.72,0.28,auto,0,0,0
