edge_id,scenario,layer,head,relation,tail,source,confidence,review_status,review_priority,suggested_action,evidence,claim_boundary
AnnularRingSignature|SUGGESTS_PLAUSIBLE_MECHANISM|ProcessNonuniformity|wafer,wafer,candidate_mechanism,AnnularRingSignature,SUGGESTS_PLAUSIBLE_MECHANISM,ProcessNonuniformity,wm811k_low_confidence_investigation_rule,0.54,auto,high,review before paper emphasis or keep as low-confidence candidate,WM811K Annular ring signature maps to Process nonuniformity as a low-confidence candidate investigation path; candidate/plausible explanation only; not a verified root-cause label.,candidate/plausible explanation only; not a verified root-cause label
AnnularRingSignature|SUGGESTS_PLAUSIBLE_MECHANISM|ResistStripInsufficient|wafer,wafer,candidate_mechanism,AnnularRingSignature,SUGGESTS_PLAUSIBLE_MECHANISM,ResistStripInsufficient,wafer_factory_sop_private_summary,0.48,auto,high,review before paper emphasis or keep as low-confidence candidate,Private SOP summary supports Resist strip insufficient as a low-confidence investigation target for the donut pattern and Annular ring signature; candidate/plausible explanation only; not a verified root-cause label.,candidate/plausible explanation only; not a verified root-cause label
AnnularRingSignature|SUGGESTS_PLAUSIBLE_MECHANISM|ToolingOrMaskPattern|wafer,wafer,candidate_mechanism,AnnularRingSignature,SUGGESTS_PLAUSIBLE_MECHANISM,ToolingOrMaskPattern,wm811k_low_confidence_investigation_rule,0.54,auto,high,review before paper emphasis or keep as low-confidence candidate,WM811K Annular ring signature maps to Tooling or mask pattern as a low-confidence candidate investigation path; candidate/plausible explanation only; not a verified root-cause label.,candidate/plausible explanation only; not a verified root-cause label
AnnularRingSignature|SUGGESTS_PLAUSIBLE_MECHANISM|WetCleanResidue|wafer,wafer,candidate_mechanism,AnnularRingSignature,SUGGESTS_PLAUSIBLE_MECHANISM,WetCleanResidue,wafer_factory_sop_private_summary,0.48,auto,high,review before paper emphasis or keep as low-confidence candidate,Private SOP summary supports Wet clean residue as a low-confidence investigation target for the donut pattern and Annular ring signature; candidate/plausible explanation only; not a verified root-cause label.,candidate/plausible explanation only; not a verified root-cause label
CenterClusterSignature|SUGGESTS_PLAUSIBLE_MECHANISM|ProcessInterruption|wafer,wafer,candidate_mechanism,CenterClusterSignature,SUGGESTS_PLAUSIBLE_MECHANISM,ProcessInterruption,wafer_factory_sop_private_summary,0.48,auto,high,review before paper emphasis or keep as low-confidence candidate,Private SOP summary supports Process interruption as a low-confidence investigation target for the center pattern and Center cluster signature; candidate/plausible explanation only; not a verified root-cause label.,candidate/plausible explanation only; not a verified root-cause label
CenterClusterSignature|SUGGESTS_PLAUSIBLE_MECHANISM|ProcessNonuniformity|wafer,wafer,candidate_mechanism,CenterClusterSignature,SUGGESTS_PLAUSIBLE_MECHANISM,ProcessNonuniformity,wafer_factory_sop_private_summary,0.48,auto,high,review before paper emphasis or keep as low-confidence candidate,Private SOP summary supports Process nonuniformity as a low-confidence investigation target for the center pattern and Center cluster signature; candidate/plausible explanation only; not a verified root-cause label.,candidate/plausible explanation only; not a verified root-cause label
CenterDefect|HAS_MORPHOLOGY|WaferClusteredMorphology|wafer,wafer,semantic_constraint,CenterDefect,HAS_MORPHOLOGY,WaferClusteredMorphology,wm811k_pattern_semantics,0.82,auto,low,bulk-approve if source registry is accepted,WM811K center pattern is represented with Wafer clustered morphology.,candidate/plausible explanation only; not a verified root-cause label
CenterDefect|HAS_PLAUSIBLE_CAUSE|ProcessInterruption|wafer,wafer,candidate_mechanism,CenterDefect,HAS_PLAUSIBLE_CAUSE,ProcessInterruption,wafer_factory_sop_private_summary,0.43,auto,high,review before paper emphasis or keep as low-confidence candidate,Private SOP summary snippet: 软件异常会导致...中心圆缺陷. WM811K center may use Process interruption as a low-confidence investigation target; candidate/plausible explanation only; not a verified root-cause label.,candidate/plausible explanation only; not a verified root-cause label
CenterDefect|HAS_PLAUSIBLE_CAUSE|ProcessNonuniformity|wafer,wafer,candidate_mechanism,CenterDefect,HAS_PLAUSIBLE_CAUSE,ProcessNonuniformity,wm811k_low_confidence_investigation_rule,0.55,auto,high,review before paper emphasis or keep as low-confidence candidate,"WM811K center pattern maps to Process nonuniformity as a low-confidence candidate investigation path, not verified process RCA.",candidate/plausible explanation only; not a verified root-cause label
CenterDefect|HAS_SPATIAL_SIGNATURE|CenterClusterSignature|wafer,wafer,semantic_constraint,CenterDefect,HAS_SPATIAL_SIGNATURE,CenterClusterSignature,wm811k_pattern_semantics,0.84,auto,low,bulk-approve if source registry is accepted,WM811K center pattern maps to the Center cluster signature descriptor; this is observed spatial evidence.,candidate/plausible explanation only; not a verified root-cause label
CenterDefect|OCCURS_ON|WaferCenterLocation|wafer,wafer,semantic_constraint,CenterDefect,OCCURS_ON,WaferCenterLocation,wm811k_pattern_semantics,0.8,auto,low,bulk-approve if source registry is accepted,WM811K center pattern is represented at Wafer center.,candidate/plausible explanation only; not a verified root-cause label
DonutDefect|HAS_MORPHOLOGY|WaferRingMorphology|wafer,wafer,semantic_constraint,DonutDefect,HAS_MORPHOLOGY,WaferRingMorphology,wm811k_pattern_semantics,0.82,auto,low,bulk-approve if source registry is accepted,WM811K donut pattern is represented with Wafer ring morphology.,candidate/plausible explanation only; not a verified root-cause label
DonutDefect|HAS_PLAUSIBLE_CAUSE|ProcessNonuniformity|wafer,wafer,candidate_mechanism,DonutDefect,HAS_PLAUSIBLE_CAUSE,ProcessNonuniformity,wm811k_low_confidence_investigation_rule,0.55,auto,high,review before paper emphasis or keep as low-confidence candidate,"WM811K donut pattern maps to Process nonuniformity as a low-confidence candidate investigation path, not verified process RCA.",candidate/plausible explanation only; not a verified root-cause label
DonutDefect|HAS_PLAUSIBLE_CAUSE|ResistStripInsufficient|wafer,wafer,candidate_mechanism,DonutDefect,HAS_PLAUSIBLE_CAUSE,ResistStripInsufficient,wafer_factory_sop_private_summary,0.49,auto,high,review before paper emphasis or keep as low-confidence candidate,Private SOP summary snippet: 去胶不彻底会在晶圆中心形成类似甜甜圈形状的残留物. WM811K donut may use Resist strip insufficient as a low-confidence investigation target; candidate/plausible explanation only; not a verified root-cause label.,candidate/plausible explanation only; not a verified root-cause label
DonutDefect|HAS_PLAUSIBLE_CAUSE|ToolingOrMaskPattern|wafer,wafer,candidate_mechanism,DonutDefect,HAS_PLAUSIBLE_CAUSE,ToolingOrMaskPattern,wm811k_low_confidence_investigation_rule,0.55,auto,high,review before paper emphasis or keep as low-confidence candidate,"WM811K donut pattern maps to Tooling or mask pattern as a low-confidence candidate investigation path, not verified process RCA.",candidate/plausible explanation only; not a verified root-cause label
DonutDefect|HAS_PLAUSIBLE_CAUSE|WetCleanResidue|wafer,wafer,candidate_mechanism,DonutDefect,HAS_PLAUSIBLE_CAUSE,WetCleanResidue,wafer_factory_sop_private_summary,0.46,auto,high,review before paper emphasis or keep as low-confidence candidate,Private SOP summary snippet: 甜甜圈缺陷：去胶不彻底...残留物. WM811K donut may use Wet clean residue as a low-confidence investigation target; candidate/plausible explanation only; not a verified root-cause label.,candidate/plausible explanation only; not a verified root-cause label
DonutDefect|HAS_SPATIAL_SIGNATURE|AnnularRingSignature|wafer,wafer,semantic_constraint,DonutDefect,HAS_SPATIAL_SIGNATURE,AnnularRingSignature,wm811k_pattern_semantics,0.84,auto,low,bulk-approve if source registry is accepted,WM811K donut pattern maps to the Annular ring signature descriptor; this is observed spatial evidence.,candidate/plausible explanation only; not a verified root-cause label
DonutDefect|OCCURS_ON|WaferCenterLocation|wafer,wafer,semantic_constraint,DonutDefect,OCCURS_ON,WaferCenterLocation,wm811k_pattern_semantics,0.8,auto,low,bulk-approve if source registry is accepted,WM811K donut pattern is represented at Wafer center.,candidate/plausible explanation only; not a verified root-cause label
EdgeLocDefect|HAS_MORPHOLOGY|WaferClusteredMorphology|wafer,wafer,semantic_constraint,EdgeLocDefect,HAS_MORPHOLOGY,WaferClusteredMorphology,wm811k_pattern_semantics,0.82,auto,low,bulk-approve if source registry is accepted,WM811K edge_loc pattern is represented with Wafer clustered morphology.,candidate/plausible explanation only; not a verified root-cause label
EdgeLocDefect|HAS_PLAUSIBLE_CAUSE|EdgeProcessIssue|wafer,wafer,candidate_mechanism,EdgeLocDefect,HAS_PLAUSIBLE_CAUSE,EdgeProcessIssue,wm811k_low_confidence_investigation_rule,0.55,auto,high,review before paper emphasis or keep as low-confidence candidate,"WM811K edge_loc pattern maps to Edge process issue as a low-confidence candidate investigation path, not verified process RCA.",candidate/plausible explanation only; not a verified root-cause label
EdgeLocDefect|HAS_SPATIAL_SIGNATURE|EdgeLocalizedSignature|wafer,wafer,semantic_constraint,EdgeLocDefect,HAS_SPATIAL_SIGNATURE,EdgeLocalizedSignature,wm811k_pattern_semantics,0.84,auto,low,bulk-approve if source registry is accepted,WM811K edge_loc pattern maps to the Edge localized signature descriptor; this is observed spatial evidence.,candidate/plausible explanation only; not a verified root-cause label
EdgeLocDefect|OCCURS_ON|WaferEdgeLocation|wafer,wafer,semantic_constraint,EdgeLocDefect,OCCURS_ON,WaferEdgeLocation,wm811k_pattern_semantics,0.8,auto,low,bulk-approve if source registry is accepted,WM811K edge_loc pattern is represented at Wafer edge.,candidate/plausible explanation only; not a verified root-cause label
EdgeLocalizedSignature|SUGGESTS_PLAUSIBLE_MECHANISM|ChamberContamination|wafer,wafer,candidate_mechanism,EdgeLocalizedSignature,SUGGESTS_PLAUSIBLE_MECHANISM,ChamberContamination,wm811k_low_confidence_investigation_rule,0.54,auto,high,review before paper emphasis or keep as low-confidence candidate,WM811K Edge localized signature maps to Chamber contamination as a low-confidence candidate investigation path; candidate/plausible explanation only; not a verified root-cause label.,candidate/plausible explanation only; not a verified root-cause label
EdgeLocalizedSignature|SUGGESTS_PLAUSIBLE_MECHANISM|EdgeProcessIssue|wafer,wafer,candidate_mechanism,EdgeLocalizedSignature,SUGGESTS_PLAUSIBLE_MECHANISM,EdgeProcessIssue,wm811k_low_confidence_investigation_rule,0.54,auto,high,review before paper emphasis or keep as low-confidence candidate,WM811K Edge localized signature maps to Edge process issue as a low-confidence candidate investigation path; candidate/plausible explanation only; not a verified root-cause label.,candidate/plausible explanation only; not a verified root-cause label
EdgeRingDefect|HAS_MORPHOLOGY|WaferRingMorphology|wafer,wafer,semantic_constraint,EdgeRingDefect,HAS_MORPHOLOGY,WaferRingMorphology,wm811k_pattern_semantics,0.82,auto,low,bulk-approve if source registry is accepted,WM811K edge_ring pattern is represented with Wafer ring morphology.,candidate/plausible explanation only; not a verified root-cause label
EdgeRingDefect|HAS_PLAUSIBLE_CAUSE|EdgeProcessIssue|wafer,wafer,candidate_mechanism,EdgeRingDefect,HAS_PLAUSIBLE_CAUSE,EdgeProcessIssue,wm811k_low_confidence_investigation_rule,0.55,auto,high,review before paper emphasis or keep as low-confidence candidate,"WM811K edge_ring pattern maps to Edge process issue as a low-confidence candidate investigation path, not verified process RCA.",candidate/plausible explanation only; not a verified root-cause label
EdgeRingDefect|HAS_PLAUSIBLE_CAUSE|ResistStripInsufficient|wafer,wafer,candidate_mechanism,EdgeRingDefect,HAS_PLAUSIBLE_CAUSE,ResistStripInsufficient,wafer_factory_sop_private_summary,0.5,auto,high,review before paper emphasis or keep as low-confidence candidate,Private SOP summary snippet: 去胶不完全会在晶圆边缘形成环状残留物. WM811K edge_ring may use Resist strip insufficient as a low-confidence investigation target; candidate/plausible explanation only; not a verified root-cause label.,candidate/plausible explanation only; not a verified root-cause label
EdgeRingDefect|HAS_PLAUSIBLE_CAUSE|ToolingOrMaskPattern|wafer,wafer,candidate_mechanism,EdgeRingDefect,HAS_PLAUSIBLE_CAUSE,ToolingOrMaskPattern,wm811k_low_confidence_investigation_rule,0.55,auto,high,review before paper emphasis or keep as low-confidence candidate,"WM811K edge_ring pattern maps to Tooling or mask pattern as a low-confidence candidate investigation path, not verified process RCA.",candidate/plausible explanation only; not a verified root-cause label
EdgeRingDefect|HAS_PLAUSIBLE_CAUSE|WetCleanResidue|wafer,wafer,candidate_mechanism,EdgeRingDefect,HAS_PLAUSIBLE_CAUSE,WetCleanResidue,wafer_factory_sop_private_summary,0.47,auto,high,review before paper emphasis or keep as low-confidence candidate,Private SOP summary snippet: 去胶不充分导致边缘环缺陷. WM811K edge_ring may use Wet clean residue as a low-confidence investigation target; candidate/plausible explanation only; not a verified root-cause label.,candidate/plausible explanation only; not a verified root-cause label
EdgeRingDefect|HAS_SPATIAL_SIGNATURE|EdgeRingSignature|wafer,wafer,semantic_constraint,EdgeRingDefect,HAS_SPATIAL_SIGNATURE,EdgeRingSignature,wm811k_pattern_semantics,0.84,auto,low,bulk-approve if source registry is accepted,WM811K edge_ring pattern maps to the Edge ring signature descriptor; this is observed spatial evidence.,candidate/plausible explanation only; not a verified root-cause label
EdgeRingDefect|OCCURS_ON|WaferEdgeLocation|wafer,wafer,semantic_constraint,EdgeRingDefect,OCCURS_ON,WaferEdgeLocation,wm811k_pattern_semantics,0.8,auto,low,bulk-approve if source registry is accepted,WM811K edge_ring pattern is represented at Wafer edge.,candidate/plausible explanation only; not a verified root-cause label
EdgeRingSignature|SUGGESTS_PLAUSIBLE_MECHANISM|EdgeProcessIssue|wafer,wafer,candidate_mechanism,EdgeRingSignature,SUGGESTS_PLAUSIBLE_MECHANISM,EdgeProcessIssue,wm811k_low_confidence_investigation_rule,0.54,auto,high,review before paper emphasis or keep as low-confidence candidate,WM811K Edge ring signature maps to Edge process issue as a low-confidence candidate investigation path; candidate/plausible explanation only; not a verified root-cause label.,candidate/plausible explanation only; not a verified root-cause label
EdgeRingSignature|SUGGESTS_PLAUSIBLE_MECHANISM|ResistStripInsufficient|wafer,wafer,candidate_mechanism,EdgeRingSignature,SUGGESTS_PLAUSIBLE_MECHANISM,ResistStripInsufficient,wafer_factory_sop_private_summary,0.48,auto,high,review before paper emphasis or keep as low-confidence candidate,Private SOP summary supports Resist strip insufficient as a low-confidence investigation target for the edge_ring pattern and Edge ring signature; candidate/plausible explanation only; not a verified root-cause label.,candidate/plausible explanation only; not a verified root-cause label
EdgeRingSignature|SUGGESTS_PLAUSIBLE_MECHANISM|ToolingOrMaskPattern|wafer,wafer,candidate_mechanism,EdgeRingSignature,SUGGESTS_PLAUSIBLE_MECHANISM,ToolingOrMaskPattern,wm811k_low_confidence_investigation_rule,0.54,auto,high,review before paper emphasis or keep as low-confidence candidate,WM811K Edge ring signature maps to Tooling or mask pattern as a low-confidence candidate investigation path; candidate/plausible explanation only; not a verified root-cause label.,candidate/plausible explanation only; not a verified root-cause label
EdgeRingSignature|SUGGESTS_PLAUSIBLE_MECHANISM|WetCleanResidue|wafer,wafer,candidate_mechanism,EdgeRingSignature,SUGGESTS_PLAUSIBLE_MECHANISM,WetCleanResidue,wafer_factory_sop_private_summary,0.48,auto,high,review before paper emphasis or keep as low-confidence candidate,Private SOP summary supports Wet clean residue as a low-confidence investigation target for the edge_ring pattern and Edge ring signature; candidate/plausible explanation only; not a verified root-cause label.,candidate/plausible explanation only; not a verified root-cause label
LinearScratchSignature|SUGGESTS_PLAUSIBLE_MECHANISM|HandlingScratch|wafer,wafer,candidate_mechanism,LinearScratchSignature,SUGGESTS_PLAUSIBLE_MECHANISM,HandlingScratch,wafer_factory_sop_private_summary,0.48,auto,high,review before paper emphasis or keep as low-confidence candidate,Private SOP summary supports Handling scratch as a low-confidence investigation target for the scratch pattern and Linear scratch signature; candidate/plausible explanation only; not a verified root-cause label.,candidate/plausible explanation only; not a verified root-cause label
