id,name,label,scenario,aliases,description
Fault01Stream4ACRatio,TEP Fault 01: Stream 4 A/C ratio,FaultType,tep,fault_01|fault 1|IDV(1)|idv_1|TEP Fault 01: Stream 4 A/C ratio,Step disturbance in stream 4 A/C ratio with B composition constant
Fault02Stream4BComposition,TEP Fault 02: Stream 4 B composition,FaultType,tep,fault_02|fault 2|IDV(2)|idv_2|TEP Fault 02: Stream 4 B composition,Step disturbance in stream 4 B composition with A/C ratio constant
Fault03Stream2Temperature,TEP Fault 03: Stream 2 D feed temperature,FaultType,tep,fault_03|fault 3|IDV(3)|idv_3|TEP Fault 03: Stream 2 D feed temperature,Step disturbance in D feed stream 2 temperature
Fault04ReactorCoolingInletTemperature,TEP Fault 04: Reactor cooling inlet temperature,FaultType,tep,fault_04|fault 4|IDV(4)|idv_4|TEP Fault 04: Reactor cooling inlet temperature,Step disturbance in reactor cooling water inlet temperature
Fault05SeparatorCoolingInletTemperature,TEP Fault 05: Separator cooling inlet temperature,FaultType,tep,fault_05|fault 5|IDV(5)|idv_5|TEP Fault 05: Separator cooling inlet temperature,Step disturbance in separator cooling water inlet temperature
Fault06Stream1AFeedLoss,TEP Fault 06: Stream 1 A feed loss,FaultType,tep,fault_06|fault 6|IDV(6)|idv_6|TEP Fault 06: Stream 1 A feed loss,Step disturbance representing A feed loss in stream 1
Fault07Stream4CHeaderPressure,TEP Fault 07: Stream 4 C header pressure,FaultType,tep,fault_07|fault 7|IDV(7)|idv_7|TEP Fault 07: Stream 4 C header pressure,Step disturbance in C header pressure for stream 4
Fault08Stream4ABCComposition,TEP Fault 08: Stream 4 A/B/C composition,FaultType,tep,fault_08|fault 8|IDV(8)|idv_8|TEP Fault 08: Stream 4 A/B/C composition,Random disturbance in A/B/C composition of stream 4
Fault09Stream2Temperature,TEP Fault 09: Stream 2 D feed temperature,FaultType,tep,fault_09|fault 9|IDV(9)|idv_9|TEP Fault 09: Stream 2 D feed temperature,Random disturbance in D feed stream 2 temperature
Fault10Stream4FeedTemperature,TEP Fault 10: Stream 4 feed temperature,FaultType,tep,fault_10|fault 10|IDV(10)|idv_10|TEP Fault 10: Stream 4 feed temperature,Random disturbance in C feed stream 4 temperature
Fault11ReactorCoolingInletTemperature,TEP Fault 11: Reactor cooling inlet temperature,FaultType,tep,fault_11|fault 11|IDV(11)|idv_11|TEP Fault 11: Reactor cooling inlet temperature,Random disturbance in reactor cooling water inlet temperature
Fault12SeparatorCoolingInletTemperature,TEP Fault 12: Separator cooling inlet temperature,FaultType,tep,fault_12|fault 12|IDV(12)|idv_12|TEP Fault 12: Separator cooling inlet temperature,Random disturbance in separator cooling water inlet temperature
Fault13ReactorKinetics,TEP Fault 13: Reactor kinetics,FaultType,tep,fault_13|fault 13|IDV(13)|idv_13|TEP Fault 13: Reactor kinetics,Drift disturbance in reaction kinetics
Fault14ReactorCoolantValveStiction,TEP Fault 14: Reactor coolant valve stiction,FaultType,tep,fault_14|fault 14|IDV(14)|idv_14|TEP Fault 14: Reactor coolant valve stiction,Stiction disturbance in reactor cooling water outlet valve
Fault15SeparatorCoolantValveStiction,TEP Fault 15: Separator coolant valve stiction,FaultType,tep,fault_15|fault 15|IDV(15)|idv_15|TEP Fault 15: Separator coolant valve stiction,Stiction disturbance in separator cooling water outlet valve
Fault16StripperHeatTransfer,TEP Fault 16: Stripper heat transfer,FaultType,tep,fault_16|fault 16|IDV(16)|idv_16|TEP Fault 16: Stripper heat transfer,Random disturbance in stripper heat transfer
Fault17ReactorHeatTransfer,TEP Fault 17: Reactor heat transfer,FaultType,tep,fault_17|fault 17|IDV(17)|idv_17|TEP Fault 17: Reactor heat transfer,Random disturbance in reactor heat transfer
Fault18CondenserHeatTransfer,TEP Fault 18: Condenser heat transfer,FaultType,tep,fault_18|fault 18|IDV(18)|idv_18|TEP Fault 18: Condenser heat transfer,Random disturbance in condenser heat transfer
Fault19MultiValveStiction,TEP Fault 19: Multi-valve stiction,FaultType,tep,fault_19|fault 19|IDV(19)|idv_19|TEP Fault 19: Multi-valve stiction,"Stiction disturbance over recycle, separator underflow, stripper underflow, and steam valves"
TepMultivariateResidualShift,Multivariate residual shift,Morphology,tep,multivariate_residual_shift|residual shift|RBC residual shift,Residual-contribution morphology emitted by the TEP producer
TepProcessObject,Tennessee Eastman Process,Object,tep,process|tep|Tennessee Eastman Process,TEP benchmark process object used by KGTraceVis evidence analysis
XMEAS1,XMEAS 1,Variable,tep,XMEAS_1|xmeas1,Example measured process variable
Xmeas10Variable,XMEAS 10: Purge rate,Variable,tep,XMEAS_10|XMEAS 10|xmeas_10|xmeas10|variable:xmeas_10|plant output 10,TEP measured variable channel from TEP_KG variable mapping
Xmeas11Variable,XMEAS 11: Product separator temperature,Variable,tep,XMEAS_11|XMEAS 11|xmeas_11|xmeas11|variable:xmeas_11|plant output 11,TEP measured variable channel from TEP_KG variable mapping
Xmeas12Variable,XMEAS 12: Product separator level,Variable,tep,XMEAS_12|XMEAS 12|xmeas_12|xmeas12|variable:xmeas_12|plant output 12,TEP measured variable channel from TEP_KG variable mapping
Xmeas13Variable,XMEAS 13: Product separator pressure,Variable,tep,XMEAS_13|XMEAS 13|xmeas_13|xmeas13|variable:xmeas_13|plant output 13,TEP measured variable channel from TEP_KG variable mapping
Xmeas14Variable,XMEAS 14: Product separator underflow,Variable,tep,XMEAS_14|XMEAS 14|xmeas_14|xmeas14|variable:xmeas_14|plant output 14,TEP measured variable channel from TEP_KG variable mapping
Xmeas15Variable,XMEAS 15: Stripper level,Variable,tep,XMEAS_15|XMEAS 15|xmeas_15|xmeas15|variable:xmeas_15|plant output 15,TEP measured variable channel from TEP_KG variable mapping
Xmeas16Variable,XMEAS 16: Stripper pressure,Variable,tep,XMEAS_16|XMEAS 16|xmeas_16|xmeas16|variable:xmeas_16|plant output 16,TEP measured variable channel from TEP_KG variable mapping
Xmeas17Variable,XMEAS 17: Stripper underflow,Variable,tep,XMEAS_17|XMEAS 17|xmeas_17|xmeas17|variable:xmeas_17|plant output 17,TEP measured variable channel from TEP_KG variable mapping
Xmeas18Variable,XMEAS 18: Stripper temperature,Variable,tep,XMEAS_18|XMEAS 18|xmeas_18|xmeas18|variable:xmeas_18|plant output 18,TEP measured variable channel from TEP_KG variable mapping
Xmeas19Variable,XMEAS 19: Stripper steam flow,Variable,tep,XMEAS_19|XMEAS 19|xmeas_19|xmeas19|variable:xmeas_19|plant output 19,TEP measured variable channel from TEP_KG variable mapping
Xmeas1Variable,XMEAS 1: A feed flow,Variable,tep,XMEAS_1|XMEAS 1|xmeas_1|xmeas1|variable:xmeas_1|plant output 1,TEP measured variable channel from TEP_KG variable mapping
Xmeas20Variable,XMEAS 20: Compressor work,Variable,tep,XMEAS_20|XMEAS 20|xmeas_20|xmeas20|variable:xmeas_20|plant output 20,TEP measured variable channel from TEP_KG variable mapping
Xmeas21Variable,XMEAS 21: Reactor coolant temperature,Variable,tep,XMEAS_21|XMEAS 21|xmeas_21|xmeas21|variable:xmeas_21|plant output 21,TEP measured variable channel from TEP_KG variable mapping
Xmeas22Variable,XMEAS 22: Separator coolant temperature,Variable,tep,XMEAS_22|XMEAS 22|xmeas_22|xmeas22|variable:xmeas_22|plant output 22,TEP measured variable channel from TEP_KG variable mapping
Xmeas23Variable,XMEAS 23: Feed component A,Variable,tep,XMEAS_23|XMEAS 23|xmeas_23|xmeas23|variable:xmeas_23,TEP measured variable channel from TEP_KG variable mapping
Xmeas24Variable,XMEAS 24: Feed component B,Variable,tep,XMEAS_24|XMEAS 24|xmeas_24|xmeas24|variable:xmeas_24,TEP measured variable channel from TEP_KG variable mapping
Xmeas25Variable,XMEAS 25: Feed component C,Variable,tep,XMEAS_25|XMEAS 25|xmeas_25|xmeas25|variable:xmeas_25,TEP measured variable channel from TEP_KG variable mapping
Xmeas26Variable,XMEAS 26: Feed component D,Variable,tep,XMEAS_26|XMEAS 26|xmeas_26|xmeas26|variable:xmeas_26,TEP measured variable channel from TEP_KG variable mapping
Xmeas27Variable,XMEAS 27: Feed component E,Variable,tep,XMEAS_27|XMEAS 27|xmeas_27|xmeas27|variable:xmeas_27,TEP measured variable channel from TEP_KG variable mapping
Xmeas28Variable,XMEAS 28: Feed component F,Variable,tep,XMEAS_28|XMEAS 28|xmeas_28|xmeas28|variable:xmeas_28,TEP measured variable channel from TEP_KG variable mapping
