head,relation,tail,scenario,source,evidence,confidence,weight,review_status,feedback_count,accepted_count,rejected_count
AnnularRingSignature,SUGGESTS_PLAUSIBLE_MECHANISM,ProcessNonuniformity,wafer,wm811k_low_confidence_investigation_rule,WM811K Annular ring signature maps to Process nonuniformity as a low-confidence candidate investigation path; candidate/plausible explanation only; not a verified root-cause label.,0.54,0.46,auto,0,0,0
AnnularRingSignature,SUGGESTS_PLAUSIBLE_MECHANISM,ResistStripInsufficient,wafer,wafer_factory_sop_private_summary,Private SOP summary supports Resist strip insufficient as a low-confidence investigation target for the donut pattern and Annular ring signature; candidate/plausible explanation only; not a verified root-cause label.,0.48,0.52,auto,0,0,0
AnnularRingSignature,SUGGESTS_PLAUSIBLE_MECHANISM,ToolingOrMaskPattern,wafer,wm811k_low_confidence_investigation_rule,WM811K Annular ring signature maps to Tooling or mask pattern as a low-confidence candidate investigation path; candidate/plausible explanation only; not a verified root-cause label.,0.54,0.46,auto,0,0,0
AnnularRingSignature,SUGGESTS_PLAUSIBLE_MECHANISM,WetCleanResidue,wafer,wafer_factory_sop_private_summary,Private SOP summary supports Wet clean residue as a low-confidence investigation target for the donut pattern and Annular ring signature; candidate/plausible explanation only; not a verified root-cause label.,0.48,0.52,auto,0,0,0
CenterClusterSignature,SUGGESTS_PLAUSIBLE_MECHANISM,ProcessInterruption,wafer,wafer_factory_sop_private_summary,Private SOP summary supports Process interruption as a low-confidence investigation target for the center pattern and Center cluster signature; candidate/plausible explanation only; not a verified root-cause label.,0.48,0.52,auto,0,0,0
CenterClusterSignature,SUGGESTS_PLAUSIBLE_MECHANISM,ProcessNonuniformity,wafer,wafer_factory_sop_private_summary,Private SOP summary supports Process nonuniformity as a low-confidence investigation target for the center pattern and Center cluster signature; candidate/plausible explanation only; not a verified root-cause label.,0.48,0.52,auto,0,0,0
CenterDefect,HAS_MORPHOLOGY,WaferClusteredMorphology,wafer,wm811k_pattern_semantics,WM811K center pattern is represented with Wafer clustered morphology.,0.82,0.18,auto,0,0,0
CenterDefect,HAS_PLAUSIBLE_CAUSE,ProcessInterruption,wafer,wafer_factory_sop_private_summary,Private SOP summary snippet: 软件异常会导致...中心圆缺陷. WM811K center may use Process interruption as a low-confidence investigation target; candidate/plausible explanation only; not a verified root-cause label.,0.43,0.57,auto,0,0,0
CenterDefect,HAS_PLAUSIBLE_CAUSE,ProcessNonuniformity,wafer,wm811k_low_confidence_investigation_rule,"WM811K center pattern maps to Process nonuniformity as a low-confidence candidate investigation path, not verified process RCA.",0.55,0.45,auto,0,0,0
CenterDefect,HAS_SPATIAL_SIGNATURE,CenterClusterSignature,wafer,wm811k_pattern_semantics,WM811K center pattern maps to the Center cluster signature descriptor; this is observed spatial evidence.,0.84,0.16,auto,0,0,0
CenterDefect,OCCURS_ON,WaferCenterLocation,wafer,wm811k_pattern_semantics,WM811K center pattern is represented at Wafer center.,0.8,0.2,auto,0,0,0
DonutDefect,HAS_MORPHOLOGY,WaferRingMorphology,wafer,wm811k_pattern_semantics,WM811K donut pattern is represented with Wafer ring morphology.,0.82,0.18,auto,0,0,0
DonutDefect,HAS_PLAUSIBLE_CAUSE,ProcessNonuniformity,wafer,wm811k_low_confidence_investigation_rule,"WM811K donut pattern maps to Process nonuniformity as a low-confidence candidate investigation path, not verified process RCA.",0.55,0.45,auto,0,0,0
DonutDefect,HAS_PLAUSIBLE_CAUSE,ResistStripInsufficient,wafer,wafer_factory_sop_private_summary,Private SOP summary snippet: 去胶不彻底会在晶圆中心形成类似甜甜圈形状的残留物. WM811K donut may use Resist strip insufficient as a low-confidence investigation target; candidate/plausible explanation only; not a verified root-cause label.,0.49,0.51,auto,0,0,0
DonutDefect,HAS_PLAUSIBLE_CAUSE,ToolingOrMaskPattern,wafer,wm811k_low_confidence_investigation_rule,"WM811K donut pattern maps to Tooling or mask pattern as a low-confidence candidate investigation path, not verified process RCA.",0.55,0.45,auto,0,0,0
DonutDefect,HAS_PLAUSIBLE_CAUSE,WetCleanResidue,wafer,wafer_factory_sop_private_summary,Private SOP summary snippet: 甜甜圈缺陷：去胶不彻底...残留物. WM811K donut may use Wet clean residue as a low-confidence investigation target; candidate/plausible explanation only; not a verified root-cause label.,0.46,0.54,auto,0,0,0
DonutDefect,HAS_SPATIAL_SIGNATURE,AnnularRingSignature,wafer,wm811k_pattern_semantics,WM811K donut pattern maps to the Annular ring signature descriptor; this is observed spatial evidence.,0.84,0.16,auto,0,0,0
DonutDefect,OCCURS_ON,WaferCenterLocation,wafer,wm811k_pattern_semantics,WM811K donut pattern is represented at Wafer center.,0.8,0.2,auto,0,0,0
EdgeLocDefect,HAS_MORPHOLOGY,WaferClusteredMorphology,wafer,wm811k_pattern_semantics,WM811K edge_loc pattern is represented with Wafer clustered morphology.,0.82,0.18,auto,0,0,0
EdgeLocDefect,HAS_PLAUSIBLE_CAUSE,EdgeProcessIssue,wafer,wm811k_low_confidence_investigation_rule,"WM811K edge_loc pattern maps to Edge process issue as a low-confidence candidate investigation path, not verified process RCA.",0.55,0.45,auto,0,0,0
EdgeLocDefect,HAS_SPATIAL_SIGNATURE,EdgeLocalizedSignature,wafer,wm811k_pattern_semantics,WM811K edge_loc pattern maps to the Edge localized signature descriptor; this is observed spatial evidence.,0.84,0.16,auto,0,0,0
EdgeLocDefect,OCCURS_ON,WaferEdgeLocation,wafer,wm811k_pattern_semantics,WM811K edge_loc pattern is represented at Wafer edge.,0.8,0.2,auto,0,0,0
EdgeLocalizedSignature,SUGGESTS_PLAUSIBLE_MECHANISM,ChamberContamination,wafer,wm811k_low_confidence_investigation_rule,WM811K Edge localized signature maps to Chamber contamination as a low-confidence candidate investigation path; candidate/plausible explanation only; not a verified root-cause label.,0.54,0.46,auto,0,0,0
EdgeLocalizedSignature,SUGGESTS_PLAUSIBLE_MECHANISM,EdgeProcessIssue,wafer,wm811k_low_confidence_investigation_rule,WM811K Edge localized signature maps to Edge process issue as a low-confidence candidate investigation path; candidate/plausible explanation only; not a verified root-cause label.,0.54,0.46,auto,0,0,0
EdgeRingDefect,HAS_MORPHOLOGY,WaferRingMorphology,wafer,wm811k_pattern_semantics,WM811K edge_ring pattern is represented with Wafer ring morphology.,0.82,0.18,auto,0,0,0
EdgeRingDefect,HAS_PLAUSIBLE_CAUSE,EdgeProcessIssue,wafer,wm811k_low_confidence_investigation_rule,"WM811K edge_ring pattern maps to Edge process issue as a low-confidence candidate investigation path, not verified process RCA.",0.55,0.45,auto,0,0,0
EdgeRingDefect,HAS_PLAUSIBLE_CAUSE,ResistStripInsufficient,wafer,wafer_factory_sop_private_summary,Private SOP summary snippet: 去胶不完全会在晶圆边缘形成环状残留物. WM811K edge_ring may use Resist strip insufficient as a low-confidence investigation target; candidate/plausible explanation only; not a verified root-cause label.,0.5,0.5,auto,0,0,0
EdgeRingDefect,HAS_PLAUSIBLE_CAUSE,ToolingOrMaskPattern,wafer,wm811k_low_confidence_investigation_rule,"WM811K edge_ring pattern maps to Tooling or mask pattern as a low-confidence candidate investigation path, not verified process RCA.",0.55,0.45,auto,0,0,0
EdgeRingDefect,HAS_PLAUSIBLE_CAUSE,WetCleanResidue,wafer,wafer_factory_sop_private_summary,Private SOP summary snippet: 去胶不充分导致边缘环缺陷. WM811K edge_ring may use Wet clean residue as a low-confidence investigation target; candidate/plausible explanation only; not a verified root-cause label.,0.47,0.53,auto,0,0,0
EdgeRingDefect,HAS_SPATIAL_SIGNATURE,EdgeRingSignature,wafer,wm811k_pattern_semantics,WM811K edge_ring pattern maps to the Edge ring signature descriptor; this is observed spatial evidence.,0.84,0.16,auto,0,0,0
EdgeRingDefect,OCCURS_ON,WaferEdgeLocation,wafer,wm811k_pattern_semantics,WM811K edge_ring pattern is represented at Wafer edge.,0.8,0.2,auto,0,0,0
EdgeRingSignature,SUGGESTS_PLAUSIBLE_MECHANISM,EdgeProcessIssue,wafer,wm811k_low_confidence_investigation_rule,WM811K Edge ring signature maps to Edge process issue as a low-confidence candidate investigation path; candidate/plausible explanation only; not a verified root-cause label.,0.54,0.46,auto,0,0,0
EdgeRingSignature,SUGGESTS_PLAUSIBLE_MECHANISM,ResistStripInsufficient,wafer,wafer_factory_sop_private_summary,Private SOP summary supports Resist strip insufficient as a low-confidence investigation target for the edge_ring pattern and Edge ring signature; candidate/plausible explanation only; not a verified root-cause label.,0.48,0.52,auto,0,0,0
EdgeRingSignature,SUGGESTS_PLAUSIBLE_MECHANISM,ToolingOrMaskPattern,wafer,wm811k_low_confidence_investigation_rule,WM811K Edge ring signature maps to Tooling or mask pattern as a low-confidence candidate investigation path; candidate/plausible explanation only; not a verified root-cause label.,0.54,0.46,auto,0,0,0
EdgeRingSignature,SUGGESTS_PLAUSIBLE_MECHANISM,WetCleanResidue,wafer,wafer_factory_sop_private_summary,Private SOP summary supports Wet clean residue as a low-confidence investigation target for the edge_ring pattern and Edge ring signature; candidate/plausible explanation only; not a verified root-cause label.,0.48,0.52,auto,0,0,0
LinearScratchSignature,SUGGESTS_PLAUSIBLE_MECHANISM,HandlingScratch,wafer,wafer_factory_sop_private_summary,Private SOP summary supports Handling scratch as a low-confidence investigation target for the scratch pattern and Linear scratch signature; candidate/plausible explanation only; not a verified root-cause label.,0.48,0.52,auto,0,0,0
LinearScratchSignature,SUGGESTS_PLAUSIBLE_MECHANISM,WaferTransferMisalignment,wafer,wafer_factory_sop_private_summary,Private SOP summary supports Wafer transfer misalignment as a low-confidence investigation target for the scratch pattern and Linear scratch signature; candidate/plausible explanation only; not a verified root-cause label.,0.48,0.52,auto,0,0,0
LocDefect,HAS_MORPHOLOGY,WaferClusteredMorphology,wafer,wm811k_pattern_semantics,WM811K loc pattern is represented with Wafer clustered morphology.,0.82,0.18,auto,0,0,0
